Code;Signification;Systeme
P0001;Commande de regulateur de volume de carburant - circuit ouvert;Moteur
P0002;Commande de regulateur de volume de carburant - plage/performance;Moteur
P0003;Commande de regulateur de volume de carburant - signal bas;Moteur
P0004;Commande de regulateur de volume de carburant - signal haut;Moteur
P0010;Actionneur de position d'arbre a cames ligne 1 - panne du circuit;Moteur
P0011;Position d'arbre a cames ligne 1 - calage excessivement avance;Moteur
P0012;Position d'arbre a cames ligne 1 - calage excessivement retarde;Moteur
P0013;Actionneur de position d'arbre a cames ligne 1 - circuit ouvert/court-circuit;Moteur
P0014;Position d'arbre a cames ligne 1 - calage excessivement avance (echappement);Moteur
P0015;Position d'arbre a cames ligne 1 - calage excessivement retarde (echappement);Moteur
P0020;Actionneur de position d'arbre a cames ligne 2 - panne du circuit;Moteur
P0021;Position d'arbre a cames ligne 2 - calage excessivement avance;Moteur
P0022;Position d'arbre a cames ligne 2 - calage excessivement retarde;Moteur
P0030;Circuit de commande du chauffage de la sonde lambda ligne 1 capteur 1;Moteur
P0031;Circuit de commande du chauffage de la sonde lambda ligne 1 capteur 1 - bas;Moteur
P0032;Circuit de commande du chauffage de la sonde lambda ligne 1 capteur 1 - haut;Moteur
P0036;Circuit de commande du chauffage de la sonde lambda ligne 1 capteur 2;Moteur
P0045;Electrovanne de commande de suralimentation du turbocompresseur - circuit ouvert;Moteur
P0070;Capteur de temperature de l'air ambiant - panne du circuit;Moteur
P0087;Rampe de distribution de carburant/pression du systeme - trop basse;Moteur
P0088;Rampe de distribution de carburant/pression du systeme - trop haute;Moteur
P0090;Regulateur de pression de carburant 1 - circuit ouvert;Moteur
P0100;Debitmetre massique ou volumique d'air - panne du circuit;Moteur
P0101;Debitmetre massique ou volumique d'air - probleme de performance/plage;Moteur
P0102;Debitmetre massique ou volumique d'air - valeur d'entree trop basse;Moteur
P0103;Debitmetre massique ou volumique d'air - valeur d'entree trop haute;Moteur
P0104;Debitmetre massique ou volumique d'air - circuit intermittent;Moteur
P0105;Capteur de pression absolue du collecteur d'admission - panne du circuit;Moteur
P0106;Capteur de pression absolue du collecteur d'admission - probleme de performance;Moteur
P0107;Capteur de pression absolue du collecteur d'admission - valeur basse;Moteur
P0108;Capteur de pression absolue du collecteur d'admission - valeur haute;Moteur
P0110;Capteur de temperature de l'air d'admission 1 - panne du circuit;Moteur
P0111;Capteur de temperature de l'air d'admission 1 - plage/performance;Moteur
P0112;Capteur de temperature de l'air d'admission 1 - valeur basse;Moteur
P0113;Capteur de temperature de l'air d'admission 1 - valeur haute;Moteur
P0115;Capteur de temperature du liquide de refroidissement moteur - panne du circuit;Moteur
P0116;Capteur de temperature du liquide de refroidissement - performance;Moteur
P0117;Capteur de temperature du liquide de refroidissement - valeur basse;Moteur
P0118;Capteur de temperature du liquide de refroidissement - valeur haute;Moteur
P0120;Capteur de position de papillon/pedale A - panne du circuit;Moteur
P0121;Capteur de position de papillon/pedale A - probleme de performance/plage;Moteur
P0122;Capteur de position de papillon/pedale A - valeur basse;Moteur
P0123;Capteur de position de papillon/pedale A - valeur haute;Moteur
P0125;Temperature du liquide de refroidissement insuffisante pour controle en boucle fermee;Moteur
P0130;Sonde lambda ligne 1 capteur 1 - panne du circuit;Moteur
