matriculation,marque,modele,annee,carburant
83811-ب-1,Hyundai,i30,2017,Diesel
13435-س-6,Kia,Sportage,2011,Diesel
28658-هـ-55,Kia,Picanto,2016,Essence
91925-س-48,Volkswagen,Passat,2018,Essence
852-د-48,Toyota,RAV4,2014,Diesel
44119-ب-6,Ford,Fiesta,2021,Essence
79132-و-2,Fiat,500,2022,Diesel
38428-ط-60,Volkswagen,Golf,2011,Diesel
37931-ب-33,Renault,Kangoo,2018,Diesel
47820-د-44,Toyota,Corolla,2018,Essence
89594-ب-72,Peugeot,Partner,2017,Diesel
49736-و-58,Volkswagen,Tiguan,2011,Diesel
4208-ط-45,Hyundai,i10,2016,Essence
74342-ط-26,Fiat,Doblo,2024,Diesel
18302-هـ-58,Citroen,Berlingo,2023,Essence
52351-ط-33,Peugeot,Partner,2025,Diesel
6176-ب-15,Peugeot,3008,2012,Diesel
78105-م-55,Hyundai,i10,2013,Diesel
70382-و-40,Renault,Captur,2023,Diesel
426-و-55,Peugeot,Partner,2013,Essence
39118-س-72,Volkswagen,Polo,2021,Essence
70698-س-1,Kia,Sportage,2025,Diesel
47577-و-33,Dacia,Sandero,2012,Diesel
63700-ب-58,Peugeot,308,2025,Essence
21644-و-55,Kia,Sportage,2016,Essence
98995-هـ-38,Ford,Kuga,2024,Essence
59178-ب-33,Volkswagen,Golf,2020,Diesel
72604-هـ-60,Volkswagen,Golf,2012,Essence
7717-هـ-6,Dacia,Duster,2012,Diesel
36501-م-26,Citroen,C4,2025,Diesel
61994-ي-26,Renault,Clio,2023,Diesel
53884-م-2,Renault,Clio,2022,Essence
14323-هـ-26,Volkswagen,Golf,2014,Diesel
10927-س-15,Peugeot,308,2011,Diesel
42013-و-72,Peugeot,Partner,2023,Diesel
3950-ط-45,Renault,Kangoo,2016,Diesel
56580-ب-48,Toyota,RAV4,2024,Diesel
22301-أ-26,Dacia,Duster,2013,Diesel
79848-د-45,Toyota,Hilux,2022,Diesel
35111-أ-33,Toyota,RAV4,2025,Diesel
75865-ط-20,Volkswagen,Passat,2013,Diesel
10332-أ-15,Dacia,Logan,2012,Diesel
35360-ط-50,Dacia,Duster,2018,Diesel
60309-أ-26,Toyota,Yaris,2012,Essence
51532-م-1,Fiat,500,2019,Essence
73087-ي-7,Renault,Kangoo,2020,Diesel
73822-أ-36,Hyundai,i30,2012,Diesel
27282-ط-36,Hyundai,Santa Fe,2011,Diesel
84340-أ-50,Dacia,Sandero,2013,Diesel
68194-ب-44,Volkswagen,Passat,2012,Diesel
52656-أ-40,Renault,Clio,2014,Diesel
24953-أ-55,Volkswagen,Tiguan,2017,Diesel
72223-ط-2,Renault,Clio,2016,Diesel
36100-أ-54,Renault,Kangoo,2019,Diesel
36611-ب-15,Peugeot,3008,2023,Diesel
58512-أ-15,Fiat,Fiorino,2018,Diesel
73318-ي-20,Renault,Megane,2012,Diesel
72688-س-48,Renault,Clio,2014,Diesel
94082-ط-45,Fiat,Panda,2022,Essence
39485-ب-15,Toyota,Yaris,2014,Essence
43105-م-2,Peugeot,3008,2017,Diesel
1026-أ-15,Ford,Ranger,2022,Diesel
53748-ب-6,Dacia,Duster,2015,Diesel
64903-هـ-36,Dacia,Duster,2011,Diesel
84724-أ-6,Renault,Kangoo,2015,Diesel
74837-ط-50,Hyundai,Tucson,2010,Diesel
49692-م-38,Volkswagen,Golf,2011,Diesel
78519-أ-36,Renault,Megane,2022,Diesel
53835-أ-55,Peugeot,Partner,2010,Diesel
93133-أ-2,Fiat,Panda,2021,Essence
82143-ط-54,Hyundai,Santa Fe,2010,Diesel
65275-ي-2,Peugeot,308,2025,Diesel
10543-ي-60,Hyundai,Tucson,2013,Diesel
35150-د-50,Peugeot,308,2020,Essence
1907-و-36,Citroen,C3,2016,Essence
33734-م-2,Citroen,C5 Aircross,2020,Diesel
92742-أ-6,Renault,Kangoo,2021,Diesel
43232-د-7,Renault,Megane,2012,Essence
65547-ب-40,Renault,Kangoo,2021,Diesel
30386-ي-38,Kia,Sorento,2025,Diesel
83220-ط-40,Volkswagen,Caddy,2014,Diesel
69805-ط-58,Ford,Focus,2021,Essence
10041-ب-1,Dacia,Sandero,2016,Diesel
14682-س-50,Toyota,Hilux,2024,Diesel
71465-ط-72,Volkswagen,Polo,2020,Essence
70481-أ-15,Ford,Ranger,2019,Diesel
10006-و-72,Volkswagen,Golf,2022,Diesel
90587-أ-60,Ford,Ranger,2013,Diesel
50917-د-38,Citroen,C5 Aircross,2024,Diesel
98811-س-50,Kia,Sportage,2022,Diesel
19126-ب-72,Toyota,Yaris,2010,Essence
52341-أ-15,Renault,Kangoo,2020,Diesel
39487-ط-58,Volkswagen,Caddy,2024,Diesel
85906-س-48,Volkswagen,Passat,2024,Diesel
62898-و-15,Ford,Kuga,2019,Diesel
70341-ط-45,Renault,Megane,2021,Essence
19131-س-72,Volkswagen,Passat,2010,Diesel
83651-ب-54,Renault,Kangoo,2020,Diesel
30612-ط-38,Fiat,Doblo,2013,Diesel
78560-د-36,Peugeot,2008,2015,Essence
62963-ط-26,Renault,Clio,2018,Essence
38075-ط-1,Volkswagen,Golf,2011,Diesel
1859-س-2,Volkswagen,Golf,2020,Diesel
61989-ط-36,Ford,Fiesta,2020,Essence
89298-ب-48,Toyota,Yaris,2012,Essence
14264-ط-60,Dacia,Dokker,2025,Diesel
8119-س-15,Kia,Sorento,2021,Diesel
10002-و-15,Fiat,Panda,2021,Essence
72535-ي-38,Toyota,Corolla,2020,Essence
53713-ط-36,Toyota,Yaris,2013,Essence
79901-و-58,Kia,Picanto,2024,Essence
98188-و-38,Hyundai,Santa Fe,2023,Diesel
7107-ط-1,Dacia,Sandero,2020,Essence
35118-س-2,Volkswagen,Golf,2011,Diesel
43152-أ-6,Volkswagen,Passat,2014,Diesel
69801-د-15,Kia,Sportage,2025,Diesel
83401-س-36,Peugeot,208,2020,Essence
90022-ي-26,Renault,Clio,2024,Diesel
89360-أ-50,Kia,Picanto,2016,Essence
51234-أ-1,Dacia,Sandero,2019,Diesel
32115-ب-15,Citroen,C3,2020,Essence
19213-ط-60,Renault,Clio,2016,Diesel
49581-س-50,Volkswagen,Caddy,2018,Diesel
31888-أ-48,Kia,Picanto,2018,Essence
90382-و-60,Renault,Kangoo,2016,Diesel
83912-أ-72,Volkswagen,Tiguan,2015,Diesel
50931-m-60,Fiat,Doblo,2012,Diesel
19932-أ-26,Citroen,C5 Aircross,2013,Diesel
81023-ب-48,Volkswagen,Golf,2015,Diesel
90342-ط-7,Fiat,500,2014,Essence
59188-ط-1,Renault,Clio,2010,Essence
69822-أ-15,Renault,Kangoo,2021,Diesel
71025-m-45,Hyundai,i30,2016,Diesel
19323-و-1,Peugeot,2008,2020,Essence
51924-ب-54,Kia,Picanto,2017,Essence
40103-د-55,Peugeot,208,2025,Diesel
71420-ط-26,Hyundai,i30,2012,Diesel
39188-ي-20,Volkswagen,Passat,2018,Diesel
38101-د-50,Dacia,Logan,2019,Diesel
52391-أ-7,Peugeot,Partner,2012,Diesel
91124-ط-2,Ford,Focus,2021,Diesel
39502-ب-20,Peugeot,Partner,2022,Diesel
71025-ب-50,Dacia,Duster,2013,Diesel
52898-و-6,Toyota,RAV4,2023,Diesel
14392-ط-15,Toyota,RAV4,2011,Diesel
90312-ط-58,Peugeot,308,2014,Diesel
49581-أ-50,Volkswagen,Passat,2020,Diesel
52311-أ-2,Dacia,Logan,2022,Diesel
10342-ي-55,Renault,Megane,2020,Essence
94382-و-15,Peugeot,Partner,2024,Diesel
71891-ب-1,Fiat,Fiorino,2015,Diesel
14300-ب-6,Dacia,Sandero,2016,Diesel
89311-أ-40,Renault,Clio,2011,Essence
10291-س-15,Dacia,Logan,2019,Diesel
35118-ط-26,Volkswagen,Golf,2015,Diesel
52918-و-45,Peugeot,3008,2016,Diesel
39211-أ-40,Fiat,Doblo,2018,Diesel
10382-ي-60,Hyundai,Tucson,2017,Diesel
49201-أ-2,Dacia,Dokker,2022,Diesel
10394-ب-55,Dacia,Sandero,2016,Diesel
94832-ط-44,Renault,Captur,2023,Diesel
72018-أ-33,Peugeot,3008,2015,Diesel
14925-س-60,Volkswagen,Caddy,2024,Diesel
39501-د-15,Peugeot,Partner,2019,Diesel
52898-ب-50,Toyota,Yaris,2013,Essence
94832-أ-15,Volkswagen,Passat,2011,Diesel
10293-و-15,Fiat,Fiorino,2018,Diesel
39182-ب-38,Kia,Sportage,2023,Diesel
49281-أ-44,Ford,Focus,2022,Diesel
52391-ط-72,Volkswagen,Golf,2016,Diesel
14921-أ-6,Toyota,Hilux,2015,Diesel
39501-أ-20,Volkswagen,Passat,2020,Diesel
71822-ب-33,Dacia,Sandero,2011,Diesel
90381-أ-50,Renault,Clio,2021,Essence
10293-د-15,Peugeot,308,2019,Diesel
39481-أ-55,Peugeot,Partner,2016,Diesel
72891-ب-1,Volkswagen,Golf,2012,Diesel
49581-س-6,Dacia,Logan,2019,Diesel
